Compound Name,Mechanism of Action
Azeliragon,Mechanism of Action section not found
Azelaic Acid,"The exact mechanism of action of azelaic acid is not known. It is thought that azelaic acid manifests its antibacterial effects by inhibiting the synthesis of cellular protein in anaerobic and aerobic bacteria, especially <i>Staphylococcus epidermidis</i> and <i>Propionibacterium acnes</i>. In aerobic bacteria, azelaic acid reversibly inhibits several oxidoreductive enzymes including tyrosinase, mitochondrial enzymes of the respiratory chain, thioredoxin reductase, 5-alpha-reductase, and DNA polymerases. In anaerobic bacteria, azelaic acid impedes glycolysis. Along with these actions, azelaic acid also improves acne vulgaris by normalizing the keratin process and decreasing microcomedo formation. Azelaic acid may be effective against both inflamed and noninflamed lesions. Specifically, azelaic acid reduces the thickness of the stratum corneum, shrinks keratohyalin granules by reducing the amount and distribution of filaggrin (a component of keratohyalin) in epidermal layers, and lowers the number of keratohyalin granules.

Azelaic acid, and other saturated dicarboxylic acids (C9-C12), are shown to be competitive inhibitors of tyrosinase (KI azelaic acid = 2.73 X 10(-3) M) and of membrane-associated thioredoxin reductase (KI azelaic acid = 1.25 X 10(-5) M). The monomethyl ester of azelaic acid does not inhibit thioredoxin reductase, but it does inhibit tyrosinase, although double the concentration is necessary compared with azelaic acid (KI azelaic acid monomethyl ester = 5.24 X 10(-3) M). Neither azelaic acid nor its monomethyl ester inhibit tyrosinase when catechol is used as a substrate instead of L-tyrosine. Therefore, the weak inhibitory action of azelaic acid on tyrosinase appears to be due to the competition of a single carboxylate group on this inhibitor for the alpha-carboxylate binding site of the L-tyrosine substrate on the enzyme active site. Based on the inhibitor constant on tyrosinase, at least cytotoxic levels of azelaic acid would be required for the direct inhibition of melanin biosynthesis in melanosomes if this mechanism is responsible for depigmentation in the hyperpigmentation disorders lentigo maligna and melasma. Alternatively only 10(-5) M azelaic acid is required to inhibit thioredoxin reductase. This enzyme is shown to regulate tyrosinase through a feedback mechanism involving electron transfer to intracellular thioredoxin, followed by a specific interaction between reduced thioredoxin and tyrosinase. Furthermore, the thioredoxin reductase/thioredoxin system is shown to be a principal electron donor for the ribonucleotide reductases which regulates DNA synthesis.

The exact mechanism of action of topically applied azelaic acid in the treatment of acne vulgaris has not been fully elucidated; however, the effect appears to result partly from the antibacterial activity of the drug. Azelaic acid inhibits the growth of susceptible organisms (principally Propionibacterium acnes) on the surface of the skin by inhibiting protein synthesis. In addition, the drug also may inhibit follicular keratinization, which may prevent development or maintenance of comedones. Azelaic acid usually is bacteriostatic in action, but may be bactericidal in high concentrations against P. acnes and Staphylococcus epidermidis.  Azelaic acid also exhibits antiproliferative effects against hyperactive and abnormal melanocytes but does not exhibit an appreciable depigmenting effect on normally pigmented skin."
Azenosertib,Mechanism of Action section not found
B,Mechanism of Action section not found
B-Cell Lymphoma 2 Protein Inhibitor,Drug not found in PubChem
B019,Drug not found in PubChem
B10 L-BPA,Drug not found in PubChem
B7-H3 ADC,Drug not found in PubChem
BAFF CAR-T,Drug not found in PubChem
B1962,Mechanism of Action section not found
BAT3306,Drug not found in PubChem
BAT8006 for,Drug not found in PubChem
BAY 3547922,Drug not found in PubChem
BAY 3547926,Drug not found in PubChem
BAY 1841788,"The actions of androgens on androgen receptors (AR) potentiate the growth and survival of prostate cancer cells. Darolutamide competitively inhibits androgens from binding to their receptors, inhibiting AR nuclear translocation, as well as AR-mediated transcription. The end result of these processes is a decrease in prostate cancer cell proliferation and tumor size. Its main metabolite, keto-darolutamide, shows similar pharmacological activity to the parent drug, darolutamide. Darolutamide has been found to bind more tightly to the AR receptor than [apalutamide] and [enzalutamide], which are other androgen receptor antagonists.  Darolutamide can act as a progesterone receptor (PR) antagonist in the laboratory setting with approximately 1% activity when compared to its actions at the androgen receptor. The clinical relevance is not known at this time."
BAY 3713372,Drug not found in PubChem
BAY 73-4506,"Regorafenib is a small molecule inhibitor of multiple membrane-bound and intracellular kinases involved in normal cellular functions and in pathologic processes such as oncogenesis, tumor angiogenesis, and maintenance of the tumor microenvironment. In in vitro biochemical or cellular assays, regorafenib or its major human active metabolites M-2 and M-5 inhibited the activity of RET, VEGFR1, VEGFR2, VEGFR3, KIT, PDGFR-alpha, PDGFR-beta, FGFR1, FGFR2, TIE2, DDR2, TrkA, Eph2A, RAF-1, BRAF, BRAFV600E , SAPK2, PTK5, and Abl at concentrations of regorafenib that have been achieved clinically. In in vivo models, regorafenib demonstrated anti-angiogenic activity in a rat tumor model, and inhibition of tumor growth as well as anti-metastatic activity in several mouse xenograft models including some for human colorectal carcinoma."
BAY 94-8862,"Finerenone is a non-steroidal selective mineralocorticoid receptor (MR) antagonist with no significant affinity or activity at androgen, progesterone, estrogen, and glucocorticoid receptors. Animal studies have shown that finerenone binding to the MR reduces inflammation and fibrosis, and phase 2 clinical trials showed a reduction in albuminuria.  Aldosterone is a mineralocorticoid hormone involved in the regulation of blood pressure, sodium reabsorption, and potassium excretion. In 1943, agonism of the MR along with increased salt was shown to be associated with malignant hypertension, which could progress to inflammation and fibrosis of organs.  Binding of aldosterone, an MR agonist, to the MR causes a conformational change, which dissociates the receptor from inactivating chaperone proteins. The active MR translocates to the nucleus along with a complex of other coactivators to induce transcription of a number of genes.   Finerenone's binding to the MR prevents binding of MR coactivators, which in turn prevents pro-inflammatory and pro-fibrotic gene transcription.  Clinical trial data shows that blocking the mineralocorticoid receptor reduces mortality and morbidity in patients with chronic severe congestive heart failure with an ejection fraction ≤35%. Patients taking finerenone developed new onset atrial fibrillation or flutter (AFF) with a hazard ratio of 0.71. Finerenone lowered the risk of first onset of kidney failure, a sustained eGFR decrease of ≥40%, or death from a renal cause to a hazard ratio of 0.82. Cardiovascular outcomes including cardiovascular death, nonfatal heart attacks, nonfatal strokes, and hospitalization for heart failure in patients taking finerenone had a hazard ratio of 0.86 in patients with a history of AFF and 0.85 in patients without a history of AFF."
BAY2927088,"Sevabertinib (BAY 2927088) is an oral, reversible tyrosine kinase inhibitor (TKI) developed for the treatment of non-small cell lung cancer (NSCLC). It is specifically designed to target tumours harbouring activating mutations in the HER2 (ERBB2) tyrosine kinase domain (TKD), a genetic driver found in a subset of NSCLC patients. The drug is active against a broad spectrum of HER2 alterations, including exon 20 insertions and various point mutations.  Sevabertinib functions as a dual inhibitor that targets both HER2 and the epidermal growth factor receptor (EGFR). By reversibly binding to these kinases, sevabertinib inhibits the phosphorylation of HER2, thereby blocking the activation of downstream signalling pathways critical for tumor growth and survival. In vitro studies demonstrate that this inhibition suppresses the proliferation of cancer cells that either over-express wild-type HER2 or harbor specific HER2 mutations."
BAY73-4506,"Regorafenib is a small molecule inhibitor of multiple membrane-bound and intracellular kinases involved in normal cellular functions and in pathologic processes such as oncogenesis, tumor angiogenesis, and maintenance of the tumor microenvironment. In in vitro biochemical or cellular assays, regorafenib or its major human active metabolites M-2 and M-5 inhibited the activity of RET, VEGFR1, VEGFR2, VEGFR3, KIT, PDGFR-alpha, PDGFR-beta, FGFR1, FGFR2, TIE2, DDR2, TrkA, Eph2A, RAF-1, BRAF, BRAFV600E , SAPK2, PTK5, and Abl at concentrations of regorafenib that have been achieved clinically. In in vivo models, regorafenib demonstrated anti-angiogenic activity in a rat tumor model, and inhibition of tumor growth as well as anti-metastatic activity in several mouse xenograft models including some for human colorectal carcinoma."
BB102,Drug not found in PubChem
BBO-11818,Drug not found in PubChem
BC3402,Drug not found in PubChem
BCG Medac Strain,Drug not found in PubChem
BCG,Drug not found in PubChem
BCMA CART,Drug not found in PubChem
BCL-2 inhibitor,Mechanism of Action section not found
BCMA/CD19-targeted allogeneic CAR-T,CID not found
BCMA-GPRC5D CART,Drug not found in PubChem
BD-C,Drug not found in PubChem
BDC-4182,Drug not found in PubChem
BCNU,"Carmustine causes cross-links in DNA and RNA, leading to the inhibition of DNA synthesis, RNA production and RNA translation (protein synthesis). Carmustine also binds to and modifies (carbamoylates) glutathione reductase. This leads to cell death.

Temozolomide (TMZ) and carmustine (BCNU), cancer-drugs usually used in the treatment of gliomas, are DNA-methylating agents producing O6-methylguanine. It has been shown that 06-methylguanine triggers DNA mismatch repair and in turn induce apoptosis and senescence, respectively, over a 4 and 6 days period. Temozolomide and carmustine have an earlier effect on nuclear organization and chromatin structure. In particular, temozolomideZ and carmustine induce clustering of pericentromeric heterochromatin regions and increase the amount of heterochromatic proteins MeCP2 and HP1alpha bound to chromatin. These drugs also decrease global levels of histone H3 acetylation and increase levels of histone H3 trimethylated on lysine 9 (H3-triMeK9). These events precede the senescence status. ... Temozolomide and carmustine efficacy in glioma treatment may implicate a first event characterized by changes in heterochromatin organization and its silencing which is then followed by apoptosis and senescence.

Although carmustine is believed to act by alkylation of DNA and RNA, the mechanism of action has not been completely elucidated and other effects such as carbamoylation and modification of cellular proteins may be involved. The overall result is thought to be the inhibition of both DNA and RNA synthesis."
BEVACIZUMAB,Drug not found in PubChem
BEBT-908,Mechanism of Action section not found
BG-75098,Drug not found in PubChem
BG-75202,Drug not found in PubChem
BG-C0902,Drug not found in PubChem
BGB-21447,Drug not found in PubChem
BGB-16673,Mechanism of Action section not found
BGB-43395,Drug not found in PubChem
BGB-B455,Drug not found in PubChem
BH-30643,Drug not found in PubChem
BHP01,Drug not found in PubChem
BHV-1530,Drug not found in PubChem
BI 765049,Drug not found in PubChem
BI 770371,Drug not found in PubChem
BITE and DLI,Drug not found in PubChem
BL-B01D1,Drug not found in PubChem
BL-M05D1,Drug not found in PubChem
BL-M07D1,Drug not found in PubChem
BL-M08D1,Drug not found in PubChem
BL-M09D1,Drug not found in PubChem
BL-M11D1,Drug not found in PubChem
BL-M14D1,Drug not found in PubChem
BL-M17D1,Drug not found in PubChem
BL-M24D1,Drug not found in PubChem
BL0175,Drug not found in PubChem
BLEX 404,Drug not found in PubChem
BMS-986340,Drug not found in PubChem
BMS-986393,Drug not found in PubChem
BMS-986482,Drug not found in PubChem
BMS-986365,Mechanism of Action section not found
BMS-986489,Drug not found in PubChem
BMS-986488,Drug not found in PubChem
BMS-986500,Drug not found in PubChem
BMS-986490,Drug not found in PubChem
BMS-986507,Drug not found in PubChem
BMS-986504,Drug not found in PubChem
BMS-986523,Drug not found in PubChem
BN104 monotherapy,Drug not found in PubChem
BNT323,Drug not found in PubChem
BMX-001,Mechanism of Action section not found
BNT323/DB-1303,Drug not found in PubChem
BNT326,Drug not found in PubChem
BNT327,Drug not found in PubChem
BNT329,Drug not found in PubChem
BP-102,Drug not found in PubChem
BP102,Drug not found in PubChem
BPR-6023021 for,Drug not found in PubChem
BR+OR,Drug not found in PubChem
BR2021,Drug not found in PubChem
BR2021-1,Drug not found in PubChem
BRL-301,Drug not found in PubChem
BSA,Mechanism of Action section not found
BSC,Mechanism of Action section not found
BT02,Drug not found in PubChem
BT8009,Mechanism of Action section not found
BTM-3566,Mechanism of Action section not found
BV+R-CHP,Drug not found in PubChem
BVEC,Drug not found in PubChem
BY002,Drug not found in PubChem
BYON4228 + Pembrolizumab,Drug not found in PubChem
Background Chemotherapy,Drug not found in PubChem
Balstilimab,Drug not found in PubChem
Bemarituzumab,Drug not found in PubChem
Belzutifan,"Hypoxia-inducible factor 2α (HIF-2α) is a transcription factor which aids in oxygen sensing by regulating genes that promote adaptation to hypoxia. In healthy patients, when oxygen levels are normal, HIF-2α is broken down via ubiquitin-proteasomal degradation by von-Hippel Lindau (VHL) proteins. In the presence of hypoxia, HIF-2α translocates into cell nuclei and forms a transcriptional complex with hypoxia-inducible factor 1β (HIF-1β) - this complex then induces the expression of downstream genes associated with cellular proliferation and angiogenesis.   Patients with von-Hippel Lindau (VHL) disease lack functional VHL proteins, leading to an accumulation of HIF-2α, and this accumulation is what drives the growth of VHL-associated tumors. Belzutifan is an inhibitor of HIF-2α that prevents its complexation with HIF-1β in conditions of hypoxia or impaired VHL protein function, thereby reducing the expression of HIF-2α target genes and slowing/stopping the growth of VHL-associated tumors."
Bemosuzumab,Drug not found in PubChem
Bendamustine + Rituximab,Drug not found in PubChem
Bendamustine,"Bendamustine is a bifunctional mechlorethamine derivative capable of forming electrophilic alkyl groups that covalently bond to other molecules. Through this function as an alkylating agent, bendamustine causes intra- and inter-strand crosslinks between DNA bases resulting in cell death.  It is active against both active and quiescent cells, although the exact mechanism of action is unknown.

Multiple myeloma is a fatal hematological disease caused by malignant transformation of plasma cells. Bendamustine has been proven to be a potent alternative to melphalan in phase 3 studies, yet its molecular mode of action is still poorly understood. The four-myeloma cell lines NCI-H929, OPM-2, RPMI-8226, and U266 were cultured in vitro. Apoptosis was measured by flow cytometry after annexin V FITC and propidium iodide staining. Cell cycle distribution of cells was determined by DNA staining with propidium iodide. Intracellular levels of (phosphorylated) proteins were determined by western blot. /It was shown/ that bendamustine induces apoptosis with an IC50 of 35-65 mug/ml and with cleavage of caspase 3. Incubation with 10-30 mug/ml results in G2 cell cycle arrest in all four-cell lines. The primary DNA-damage signaling kinases ATM and Chk2, but not ATR and Chk1, are activated. The Chk2 substrate Cdc25A phosphatase is degraded and Cdc2 is inhibited by inhibitory phosphorylation of Tyr15 accompanied by increased cyclin B levels. Additionally, p53 activation occurs as phosphorylation of Ser15, the phosphorylation site for ATM. p53 promotes Cdc2 inhibition by upregulation of p21. Targeting of p38 MAPK by the selective inhibitor SB202190 significantly increases bendamustine induced apoptosis. Additionally, SB202190 completely abrogates G2 cell cycle arrest.  Bendamustine induces ATM-Chk2-Cdc2-mediated G2 arrest and p53 mediated apoptosis. Inhibition of p38 MAPK augments apoptosis and abrogates G2 arrest and can be considered as a new therapeutic strategy in combination with bendamustine.

Microarray-based gene expression profiling, real-time PCR, immunoblot, cell cycle, and functional DNA damage repair analyses were used to characterize response to bendamustine and compare it with chlorambucil and phosphoramide mustard. Bendamustine displays a distinct pattern of activity unrelated to other DNA-alkylating agents. Its mechanisms of action include activation of DNA-damage stress response and apoptosis, inhibition of mitotic checkpoints, and induction of mitotic catastrophe. In addition, unlike other alkylators, bendamustine activates a base excision DNA repair pathway rather than an alkyltransferase DNA repair mechanism. These results suggest that bendamustine possesses mechanistic features that differentiate it from other alkylating agents and may contribute to its distinct clinical efficacy profile.

Bendamustine is a bifunctional mechlorethamine derivative containing a purine-like benzimidazole ring. Mechlorethamine and its derivatives form electrophilic alkyl groups.  These groups form covalent bonds with electron-rich nucleophilic moieties, resulting in interstrand DNA crosslinks. The bifunctional covalent linkage can lead to cell death via several pathways. Bendamustine is active against both quiescent and dividing cells. The exact mechanism of action of bendamustine remains unknown."
Bendamustine + anti-CD20 monoclonal antibody/orelabrutinib + anti-CD20 monoclonal antibody,Drug not found in PubChem
Benmelstobart,Drug not found in PubChem
Benmelstobart combined with gemcitabine and cisplatin,Drug not found in PubChem
Bevacizumab,Drug not found in PubChem
Bev,Mechanism of Action section not found
Bevacizumab + CAPEOX,Drug not found in PubChem
Bevacizumab Biosimilar,Drug not found in PubChem
Bevacizumab biosimilar,Drug not found in PubChem
Bevacizumab combined with trifluridine/tipiracil,Drug not found in PubChem
Bevacizumab+Irinotecan Liposome+Capecitabine,Drug not found in PubChem
BiTE-EV,Drug not found in PubChem
BiCNU,"Carmustine causes cross-links in DNA and RNA, leading to the inhibition of DNA synthesis, RNA production and RNA translation (protein synthesis). Carmustine also binds to and modifies (carbamoylates) glutathione reductase. This leads to cell death.

Temozolomide (TMZ) and carmustine (BCNU), cancer-drugs usually used in the treatment of gliomas, are DNA-methylating agents producing O6-methylguanine. It has been shown that 06-methylguanine triggers DNA mismatch repair and in turn induce apoptosis and senescence, respectively, over a 4 and 6 days period. Temozolomide and carmustine have an earlier effect on nuclear organization and chromatin structure. In particular, temozolomideZ and carmustine induce clustering of pericentromeric heterochromatin regions and increase the amount of heterochromatic proteins MeCP2 and HP1alpha bound to chromatin. These drugs also decrease global levels of histone H3 acetylation and increase levels of histone H3 trimethylated on lysine 9 (H3-triMeK9). These events precede the senescence status. ... Temozolomide and carmustine efficacy in glioma treatment may implicate a first event characterized by changes in heterochromatin organization and its silencing which is then followed by apoptosis and senescence.

Although carmustine is believed to act by alkylation of DNA and RNA, the mechanism of action has not been completely elucidated and other effects such as carbamoylation and modification of cellular proteins may be involved. The overall result is thought to be the inhibition of both DNA and RNA synthesis."
Bicalutamide,"Bicalutamide competes with androgen for the binding of androgen receptors, consequently blocking the action of androgens of adrenal and testicular origin which stimulate the growth of normal and malignant prostatic tissue.

Bicalutamide is a nonsteroidal antiandrogen that is structurally and pharmacologically related to flutamide and nilutamide. Bicalutamide inhibits the action of androgens by competitively blocking nuclear androgen receptors in target tissues such as the prostate, seminal vesicles, and adrenal cortex; blockade of androgen receptors in the hormone-sensitive tumor cells may result in growth arrest or transient tumor regression through inhibition of androgen-dependent DNA and protein synthesis. Bicalutamide is a selective antiandrogen with no androgenic or progestational activity in various animal models. The relative binding affinity of bicalutamide at the androgen receptor is more than that of nilutamide and approximately 4 times that of hydroxyflutamide, the active metabolite of flutamide.

Common pharmacologic therapies for prostate cancer (ie, gonadotropin-releasing hormone [GnRH] analogs, nonsteroidal antiandrogens) when used as monotherapy initially result in increased serum testosterone concentrations, which may limit the effects of the drugs. Androgen receptors in the hypothalamus are blocked by bicalutamide, which disrupts the inhibitory feedback of testosterone on luteinizing hormone (LH) release, resulting in a temporary increase in secretion of LH; the increase in LH stimulates an increase in the production of testosterone. As GnRH analogs have potent GnRH agonist properties, testicular steroidogenesis continues during the first few weeks after initiating therapy. However, the combination of orchiectomy or GnRH analog therapy to suppress testicular androgen production and an antiandrogen to block response of remaining adrenal androgens provides maximal androgen blockade. Concomitant administration of antiandrogens such as bicalutamide in patients initiating therapy with a GnRH analog can inhibit initial androgenic stimulation and potential exacerbation of symptoms (e.g., bone pain, urinary obstruction, liver pain, impending spinal cord compression) that may occur during the first month of GnRH analog therapy.

Bicalutamide was developed from a series of nonsteroidal compounds related to flutamide that showed a range of pharmacologic activity from full androgen agonist to pure antiandrogen, including progestational and antiprogestational properties. Bicalutamide is a pure antiandrogen that binds to rat, dog, and human prostate; the affinity compared with the natural ligand 5 alpha-dihydrotestosterone is low, but bicalutamide has an affinity for the rat androgen receptor approximately four times higher than hydroxyflutamide, the active metabolite of flutamide. Bicalutamide also binds to androgen receptors found in the LNCaP human prostate tumor and the Shionogi S115 mouse mammary tumor cell line, as well as androgen receptors transfected into CV-1 and HeLa cells. In all cases, bicalutamide behaves as a pure antiandrogen and inhibits gene expression and cell growth stimulated by androgen. Studies with the LNCaP cell line are particularly interesting, as these cells contain a mutated androgen receptor (codon 868, Thr-->Ala), which behaves idiosyncratically with other antiandrogens (cyproterone acetate and flutamide): both these antiandrogens act as agonists in this cell line and stimulate proliferation. Studies in vivo show that bicalutamide is a potent antiandrogen in the rat. In immature, castrated male rats treated daily with testosterone propionate, bicalutamide produces a profound inhibition of accessory sex organ (ventral prostate and seminal vesicles) growth at oral doses as low as 0.25 mg/kg; it is more active in this test than flutamide or cyproterone acetate. In mature male rats, daily oral doses of bicalutamide produce a dose-related reduction in weights of the ventral prostate glands and seminal vesicles: in this test, bicalutamide is around five times as potent as flutamide. In contrast to flutamide, which produces dose-related, marked increases in serum luteinizing hormone (LH) and testosterone as a consequence of the central inhibition of the negative feedback effects of androgens on the hypothalamic-pituitary-tests axis, bicalutamide has little effect on serum LH and testosterone; i.e., it is peripherally selective. The peripheral selectivity of bicalutamide in the rat is not due to differences between the prostate versus hypothalamic or pituitary receptors, as bicalutamide reverses the suppressive effect of testosterone on luteinizing hormone-releasing hormone (LHRH) secretion from hypothalamic slices in vitro and is as effective as flutamide at sensitizing the pituitary gland to secrete LH in response to administered LHRH. The peripheral selectivity of bicalutamide has now been shown to be due to poor penetration across the blood-brain barrier: tissue distribution studies with [3H]bicalutamide show that although it is concentrated in the organs of metabolism and secretion as well as in the prostate, the pituitary glands, and the seminal vesicles, levels in the hypothalamus and the central nervous system (CNS) are much lower than in blood. Indeed, it is probable that levels found in the CNS reflect levels of blood contamination. In dogs, bicalutamide has exquisite potency and causes dose-related atrophy of the prostate gland and epididymides; with an oral ED50 of 0.1 mg/kg, it is around 50 times as potent as flutamide in this species and also more potent than the steroidal antiandrogen WIN49596 and the 5 alpha-reductase inhibitor MK-906. Even at substantial multiples of the active dose (up to 100 mg/kg orally), bicalutamide failed to increase serum testosterone, so it is also peripherally selective in the dog.

Although widely accepted as an androgen receptor antagonist, the mechanism by which it induces apoptosis remains unclear. Defining exact pathways by which bicalutamide induces its apoptotic effects would help to advance its clinical applications. /Investigators/ aimed to examine the apoptotic effects of bicalutamide at 24 hr and comment on the role of the caspases and calpains in mediating bicalutamide-induced apoptosis in androgen-dependent and androgen-independent cells. PWR-1E, PC-3 and DU-145 cells were treated with bicalutamide and assessed for apoptosis by flow cytometry at 24 hr. DU-145 cells were used to compare differences between two different metastatic receptor-negative cells and to verify apoptotic induction at 48 hr. To delineate a specific pathway of action for bicalutamide, PC-3 and PWR-1E cells were pretreated with specific inhibitors of caspase-dependent (zVAD-FMK) and caspase-independent pathways (calpain 2 inhibitor). Bicalutamide induced apoptosis in androgen-dependent PWR-1E cells via a caspase-dependent and calpain-independent mechanism. In androgen-independent PC-3 cells, bicalutamide also induced apoptosis by mechanisms that were partially inhibited by pan-caspase inhibition but were partially calpain dependent. Understanding into how bicalutamide exerts its effects in androgen-independent cells will yield further insights into the treatment of hormone-refractory disease."
Biejia-Ruangan compound,Drug not found in PubChem
Bile duct cancer cohort,Drug not found in PubChem
Biolosion,Drug not found in PubChem
Bispecific Monoclonal Antibody and Triplet Therapy,Drug not found in PubChem
Bismuth,Mechanism of Action section not found
Bispecific antibody,Drug not found in PubChem
Biweekly FOLFIRI,Drug not found in PubChem
Biweekly Modified FOLFOX6,Drug not found in PubChem
Black Raspberry,Drug not found in PubChem
Blinatumomab,Drug not found in PubChem
Bleximenib,Mechanism of Action section not found
Blinatumomab and Inotuzumab Ozogamicin,Drug not found in PubChem
Blinatumomab plus Reduced-dose Chemotherapy,Drug not found in PubChem
Blood sampling for pharmacokinetics,Drug not found in PubChem
Bortezomib + Lenalidomide + Dexamethasone,Drug not found in PubChem
Bortezomib + Lenalidomide + Dexamethasone + Fenofibrate,Drug not found in PubChem
Bortezomib,"The ubiquitin-proteasome pathway is a homeostatic proteolytic pathway for intracellular protein degradation: proteins marked with a poly-ubiquitin chain are degraded to small peptides and free ubiquitin by the proteasome, which is a large multimeric protease. Aberrant proteasome-dependent proteolysis, as seen in some malignancies, can lead to uncontrolled cell division, leading to tumorigenesis, cancer growth, and spread.   Bortezomib is a reversible inhibitor of the 26S proteasome, which is made up of a 20S core complexed with a 19S regulatory complex. Individual β-subunits allow specific catalytic action of the 20S core. In mammalian cells, bortezomib is a potent inhibitor of the proteasome’s chymotryptic-like activity, which is attributed to the β5-subunit of the 20S core particle. Bortezomib binds to the active site of the threonine hydroxyl group in the β5-subunit. A probing study showed bortezomib also binding to and inhibiting the β1-subunit, which mediates the caspase-like activity of the proteasome, and β1i-subunit, which is an altered subunit that is expressed to form immunoproteasomes in response to cell stress or inflammation. By inhibiting the proteasome-mediated degradation of key proteins that promote cell apoptosis, bortezomib induces a cell cycle arrest during the G2-M phase. It is believed that multiple mechanisms, other than proteasome inhibition, may be involved in the anticancer activity of bortezomib. The anticancer activity of bortezomib was largely associated with suppression of the NF-κB signalling pathway, resulting in the downregulation of anti-apoptotic target genes and expression of anti-apoptic proteins. This may be explained by bortezomib preventing uncontrolled degradation of IκB, which is an inhibitory protein of NF-κB. NOXA, which is a pro-apoptotic factor, induced by bortezomib selectively in cancer cells; thus, it is suggested to be another key mechanism of bortezomib.

Bortezomib, a modified dipeptidyl boronic acid, is an antineoplastic agent. The drug reversibly inhibits the 26S proteasome, a large protein complex that degrades ubiquitinated proteins. The ubiquitin-proteasome pathway plays an essential role in regulating the intracellular concentration of specific proteins, thereby maintaining homeostasis within cells. Inhibition of the 26S proteasome by bortezomib prevents targeted proteolysis and causes disruption of normal homeostatic mechanisms, which can lead to cell death. In vitro studies indicate that bortezomib is cytotoxic to a variety of cancer cell types. Bortezomib has been shown to cause a delay in tumor growth in vivo in tumor models, including multiple myeloma.

... The mechanisms underlying /bortezomib/ cancer cell toxicity are complex. A growing body of evidence suggests proteasome inhibition-dependent regulation of the BCL-2 family is a critical requirement. In particular, the stabilization of BH3-only proteins BIK, NOXA and BIM, appear to be essential for effecting BAX- and BAK-dependent cell death. ...

Proteasome inhibition is a novel, targeted approach in cancer therapy. Both natural and synthetic proteasome inhibitors selectively penetrate cancer cells, disrupting the orderly destruction of key regulatory proteins involved in tumorigenesis and metastasis. Disrupting the orderly destruction of regulatory proteins causes an imbalance of these proteins within the cell, which interferes with the systematic activation of signaling pathways required to maintain tumor cell growth and survival; therefore, cellular replication is inhibited and apoptosis ensues. ...

Bortezomib (PS-341, Velcade) is a potent and selective inhibitor of the proteasome that is currently under investigation for the treatment of solid malignancies. /Investigators/ have shown previously that bortezomib has activity in pancreatic cancer models and that the drug induces endoplasmic reticulum (ER) stress but also suppresses the unfolded protein response (UPR). Because the UPR is an important cytoprotective mechanism, /investigators/ hypothesized that bortezomib would sensitize pancreatic cancer cells to ER stress-mediated apoptosis. Here, /the authors/ show that bortezomib promotes apoptosis triggered by classic ER stress inducers (tunicamycin and thapsigargin) via a c-Jun NH(2)-terminal kinase (JNK)-dependent mechanism. /They/ also show that cisplatin stimulates ER stress and interacts with bortezomib to increase ER dilation, intracellular Ca(2+) levels, and cell death. Importantly, combined therapy with bortezomib plus cisplatin induced JNK activation and apoptosis in orthotopic pancreatic tumors resulting in a reduction in tumor burden. Taken together, the  data establish that bortezomib sensitizes pancreatic cancer cells to ER stress-induced apoptosis and show that bortezomib strongly enhances the anticancer activity of cisplatin."
Botensilimab,Drug not found in PubChem
BrECADD,Drug not found in PubChem
Bosulif,"Bosutinib is a tyrosine kinase inhibitor. Bosutinib inhibits the BCR-ABL kinase that promotes CML; it is also an inhibitor of Src-family kinases including Src, Lyn, and Hck. Bosutinib inhibited 16 of 18 imatinib-resistant forms of BCR-ABL kinase expressed in murine myeloid cell lines. Bosutinib did not inhibit the T315I and V299L mutant cells."
Brachytherapy,Drug not found in PubChem
Brentuximab Vedotin,Drug not found in PubChem
Brentuximab-Vedotin associated with Bendamustine,Drug not found in PubChem
Bridging Therapy,Drug not found in PubChem
Brigatinib,"Brigitanib acts as a tyrosine kinase inhibitor with activity against multiple kinases including ALK, ROS1, insulin-like growth factor 1 receptor and against EGFR deletions and point mutations. It acts by inhibiting ALK phosphorylation and the activation of downstream signaling proteins."
Brincidofovir,"Brincidofovir is a pro-drug comprising [cidofovir] conjugated to a lipid molecule - the lipid component mimics an endogenous lipid, lysophosphatidylcholine, which allows the molecule to hijack endogenous lipid uptake pathways to enter infected cells. Following uptake, the lipid molecule is cleaved to generate cidofovir, which is then phosphorylated to generate the active antiviral compound, cidofovir disphosphate.  The antiviral effects of cidofovir diphosphate appear to be the result of two distinct mechanisms. Mechanistic studies using recombinant vaccinia DNA polymerase suggest that it inhibits orthopoxvirus DNA polymerase-mediated DNA synthesis. In addition, cidofovir is an acyclic nucleotide analogue of deoxycytidine monophosphate - cidofovir diphosphate can therefore be incorporated into the growing viral DNA chain and consequently slow the rate of viral DNA synthesis."
Brodalumab,Drug not found in PubChem
Bruton's tyrosine kinase inhibitor,Drug not found in PubChem
Bupivacain,Drug not found in PubChem
Budigalimab,Drug not found in PubChem
Bv,Mechanism of Action section not found
C,Mechanism of Action section not found
C134,Drug not found in PubChem
C225),Drug not found in PubChem
C225,Drug not found in PubChem
CA19-9-targeting monoclonal antibody,Drug not found in PubChem
CA-4948,Mechanism of Action section not found
CAP-B or 5-FU/LV plus bevacizumab.,Drug not found in PubChem
CAPEOX regimen,Drug not found in PubChem
CAPEOX/XELOX,CID not found
CAPOX,Drug not found in PubChem
CAPEOX,Mechanism of Action section not found
CAPOX chemotherapy,Drug not found in PubChem
